Major Heading,Activity Code,MET Value,Activity Description,
Bicycling,1003,14,"Bicycling, mountain, uphill, vigorous",
Bicycling,1004,16,"Bicycling, mountain, competitive racing",
Bicycling,1008,8.5,"Bicycling, BMX",
Bicycling,1009,8.5,"Bicycling, mountain, general",
Bicycling,1010,4,"Bicycling, ",
Bicycling,1011,6.8,"Bicycling, to/from work, self selected pace",
Bicycling,1013,5.8,"Bicycling, on dirt or farm road, moderate pace",
Bicycling,1014,7,"Bicycling, general",
Bicycling,1015,4.3,"Bicycling, self-selected easy pace",
Bicycling,1016,7,"Bicycling, self-selected moderate pace",
Bicycling,1017,9,"Bicycling, self-selected vigorous pace",
Bicycling,1018,3.5,"Bicycling, leisure 5.5 mph",
Bicycling,1019,5.8,"Bicycling, leisure, 9.4 mph",
Bicycling,1020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort",
Bicycling,1030,8,"Bicycling, 12-13.9 mph, leisure, moderate effort",
Bicycling,1040,10,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",
Bicycling,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",
Bicycling,1060,16.8,"Bicycling, >20 mph, racing, not drafting",
Bicycling,1065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",
Bicycling,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",
Bicycling,1070,5,"Unicycling",
Bicycling,1080,6.8,"E-bike (electrically assisted) without electronic support",
Bicycling,1084,6,"E-bike (electrically assisted) with light electronic support",
Bicycling,1088,4,"E-bike (electrically assisted) with high electronic support",
Bicycling,1200,6.8,"Bicycling, stationary, general",
Bicycling,1210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort",
Bicycling,1214,4,"Bicycling, stationary, 50 watts, light effort",
Bicycling,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort",
Bicycling,1218,5.8,"Bicycling, stationary, 70-80 watts",
